ctime,schemaname,relname,indexrelname,idx_scan,idx_tup_read,idx_tup_fetch,idx_blks_read,idx_blks_hit
1441163385.50086,pg_toast,pg_toast_16385,pg_toast_16385_index,0,0,0,0,0
1441163385.50086,public,supplier,supplier_s_nationkey_s_suppkey_idx,4,160242,0,3206,19
1441163385.50086,public,supplier,pk_supplier,256279,369134,369134,5855,767440
1441163385.50086,public,supplier,supplier_s_suppkey_idx_like,1,479,479,17,19
1441163385.50086,pg_catalog,pg_statistic,pg_statistic_relid_att_inh_index,6421,4953,4953,92,14039
1441163385.50086,pg_catalog,pg_type,pg_type_typname_nsp_index,162,112,108,54,400
1441163385.50086,pg_catalog,pg_type,pg_type_oid_index,23316,23283,23283,49,24585
1441163385.50086,pg_toast,pg_toast_16391,pg_toast_16391_index,0,0,0,0,0
1441163385.50086,public,part,part_p_container_p_brand_p_partkey_idx,13,260252,0,123034,32
1441163385.50086,public,part,pk_part,79,20000078,20000078,109542,202
1441163385.50086,public,part,part_p_type_p_partkey_idx,1,133389,0,116008,14
1441163385.50086,public,part,part_p_name_idx,1,218542,0,137515,14
1441163385.50086,public,part,part_p_size_idx,10,9201014,0,74544,5489
1441163385.50086,pg_toast,pg_toast_2604,pg_toast_2604_index,0,0,0,0,0
1441163385.50086,pg_toast,pg_toast_2606,pg_toast_2606_index,0,0,0,0,0
1441163385.50086,pg_toast,pg_toast_2609,pg_toast_2609_index,0,0,0,0,0
1441163385.50086,pg_toast,pg_toast_1255,pg_toast_1255_index,0,0,0,0,0
1441163385.50086,pg_toast,pg_toast_2618,pg_toast_2618_index,1096,3506,3506,50,1706
1441163385.50086,pg_toast,pg_toast_3596,pg_toast_3596_index,0,0,0,0,0
1441163385.50086,pg_toast,pg_toast_2619,pg_toast_2619_index,787,16382,16382,99,5434
1441163385.50086,pg_toast,pg_toast_2620,pg_toast_2620_index,0,0,0,0,0
1441163385.50086,pg_toast,pg_toast_2396,pg_toast_2396_index,0,0,0,0,0
1441163385.50086,pg_toast,pg_toast_2964,pg_toast_2964_index,0,0,0,0,0
1441163385.50086,pg_toast,pg_toast_3592,pg_toast_3592_index,0,0,0,0,0
1441163385.50086,pg_catalog,pg_authid,pg_authid_oid_index,1288,1288,1288,48,2528
1441163385.50086,pg_catalog,pg_authid,pg_authid_rolname_index,1288,1288,1288,48,2528
1441163385.50086,pg_toast,pg_toast_16397,pg_toast_16397_index,0,0,0,0,0
1441163385.50086,public,partsupp,partsupp_ps_suppkey_idx,281163,22486878,22486878,466387,940760
1441163385.50086,public,partsupp,pk_partsupp,282628,1130368,1130368,404073,950508
1441163385.50086,pg_toast,pg_toast_16403,pg_toast_16403_index,0,0,0,0,0
1441163385.50086,public,customer,customer_c_phone_idx,7,1909180,0,64882,27
1441163385.50086,public,customer,customer_c_phone_idx_c_acctbal,7,3818250,0,47847,23
1441163385.50086,public,customer,customer_c_mktsegment_c_custkey_idx,1,3000188,0,69266,16
1441163385.50086,public,customer,customer_c_nationkey_c_custkey_idx,0,0,0,41138,16
1441163385.50086,public,customer,pk_customer,84,84,84,41178,228
1441163385.50086,pg_toast,pg_toast_16409,pg_toast_16409_index,0,0,0,0,0
1441163385.50086,public,orders,pk_orders,32633488,182783435,182783435,1236611,130900719
1441163385.50086,public,orders,orders_o_orderkey_o_orderdate_idx,0,0,0,412541,601257
1441163385.50086,public,orders,orders_o_orderdate_o_orderkey_idx,4,79636975,0,638570,598218
1441163385.50086,pg_catalog,pg_user_mapping,pg_user_mapping_user_server_index,0,0,0,0,0
1441163385.50086,pg_catalog,pg_user_mapping,pg_user_mapping_oid_index,0,0,0,0,0
1441163385.50086,pg_toast,pg_toast_16415,pg_toast_16415_index,0,0,0,0,0
1441163385.50086,public,lineitem,lineitem_l_orderkey_idx_l_returnflag,1,148215050,148215050,812442,592255
1441163385.50086,public,lineitem,lineitem_l_orderkey_idx_part2,1,71978144,71978144,394599,287551
1441163385.50086,public,lineitem,lineitem_l_orderkey_idx,4550633,618570471,618570471,4846164,19114019
1441163385.50086,public,lineitem,pk_lineitem,0,0,0,1649940,2403669
1441163385.50086,public,lineitem,lineitem_l_orderkey_idx_part1,5677981,5206383,5206383,2083316,23208957
1441163385.50086,public,lineitem,lineitem_l_shipdate_l_suppkey__idx,5,326330477,0,3038235,1897024
1441163385.50086,public,lineitem,lineitem_l_orderkey_l_linenumber_l_shipdate_idx,0,0,0,2316822,2405172
1441163385.50086,public,lineitem,lineitem_l_partkey_l_quantity_l_shipmode_idx,1143807,31102203,30502004,4074368,6047612
1441163385.50086,pg_catalog,pg_largeobject,pg_largeobject_loid_pn_index,0,0,0,0,0
1441163385.50086,pg_catalog,pg_attribute,pg_attribute_relid_attnum_index,47619,81162,81095,202,97104
1441163385.50086,pg_catalog,pg_attribute,pg_attribute_relid_attnam_index,43,43,43,13,651
1441163385.50086,pg_catalog,pg_proc,pg_proc_proname_args_nsp_index,2342,10609,10609,162,5759
1441163385.50086,pg_catalog,pg_proc,pg_proc_oid_index,15873,15873,15873,253,32730
1441163385.50086,pg_catalog,pg_class,pg_class_tblspc_relfilenode_index,0,0,0,31,726
1441163385.50086,pg_catalog,pg_class,pg_class_relname_nsp_index,2498,2097,2095,132,6265
1441163385.50086,pg_catalog,pg_class,pg_class_oid_index,80476,157340,157337,46,82001
1441163385.50086,pg_catalog,pg_attrdef,pg_attrdef_oid_index,0,0,0,0,0
1441163385.50086,pg_catalog,pg_attrdef,pg_attrdef_adrelid_adnum_index,0,0,0,0,0
1441163385.50086,pg_catalog,pg_constraint,pg_constraint_oid_index,8,0,0,2,22
1441163385.50086,pg_catalog,pg_constraint,pg_constraint_contypid_index,0,0,0,2,14
1441163385.50086,pg_catalog,pg_constraint,pg_constraint_conrelid_index,0,0,0,2,14
1441163385.50086,pg_catalog,pg_constraint,pg_constraint_conname_nsp_index,0,0,0,2,14
1441163385.50086,pg_catalog,pg_inherits,pg_inherits_parent_index,0,0,0,0,0
1441163385.50086,pg_catalog,pg_inherits,pg_inherits_relid_seqno_index,4,0,0,4,0
1441163385.50086,pg_catalog,pg_index,pg_index_indexrelid_index,7416,7416,7416,48,8919
1441163385.50086,pg_catalog,pg_index,pg_index_indrelid_index,3392,7279,7279,49,4588
1441163385.50086,pg_catalog,pg_operator,pg_operator_oprname_l_r_n_index,1208,5398,5398,111,3073
1441163385.50086,pg_catalog,pg_operator,pg_operator_oid_index,3767,3767,3767,92,8646
1441163385.50086,pg_catalog,pg_opfamily,pg_opfamily_oid_index,0,0,0,0,0
1441163385.50086,pg_catalog,pg_opfamily,pg_opfamily_am_name_nsp_index,0,0,0,0,0
1441163385.50086,pg_catalog,pg_opclass,pg_opclass_oid_index,3788,3788,3788,48,5256
1441163385.50086,pg_catalog,pg_opclass,pg_opclass_am_name_nsp_index,1198,51022,51022,54,1901
1441163385.50086,pg_catalog,pg_am,pg_am_oid_index,0,0,0,0,0
1441163385.50086,pg_catalog,pg_am,pg_am_name_index,0,0,0,0,0
1441163385.50086,pg_catalog,pg_amop,pg_amop_oid_index,0,0,0,0,0
1441163385.50086,pg_catalog,pg_amop,pg_amop_opr_fam_index,3265,8573,8573,90,7422
1441163385.50086,pg_catalog,pg_amop,pg_amop_fam_strat_index,5531,5531,5531,73,11945
1441163385.50086,pg_catalog,pg_amproc,pg_amproc_oid_index,0,0,0,0,0
1441163385.50086,pg_catalog,pg_amproc,pg_amproc_fam_proc_index,4625,7096,7096,72,10694
1441163385.50086,pg_catalog,pg_language,pg_language_oid_index,0,0,0,0,0
1441163385.50086,pg_catalog,pg_language,pg_language_name_index,0,0,0,0,0
1441163385.50086,pg_catalog,pg_largeobject_metadata,pg_largeobject_metadata_oid_index,0,0,0,0,0
1441163385.50086,pg_catalog,pg_aggregate,pg_aggregate_fnoid_index,305,305,305,88,501
1441163385.50086,pg_catalog,pg_rewrite,pg_rewrite_rel_rulename_index,1544,1547,1544,50,2599
1441163385.50086,pg_catalog,pg_rewrite,pg_rewrite_oid_index,9,6,6,7,8
1441163385.50086,pg_catalog,pg_trigger,pg_trigger_oid_index,0,0,0,0,0
1441163385.50086,pg_catalog,pg_trigger,pg_trigger_tgrelid_tgname_index,0,0,0,0,0
1441163385.50086,pg_catalog,pg_trigger,pg_trigger_tgconstraint_index,0,0,0,0,0
1441163385.50086,pg_catalog,pg_event_trigger,pg_event_trigger_oid_index,0,0,0,0,0
1441163385.50086,pg_catalog,pg_event_trigger,pg_event_trigger_evtname_index,52,0,0,4,48
1441163385.50086,pg_catalog,pg_description,pg_description_o_c_o_index,16,0,0,12,24
1441163385.50086,pg_catalog,pg_cast,pg_cast_source_target_index,20920,7525,7525,49,22125
1441163385.50086,pg_catalog,pg_cast,pg_cast_oid_index,0,0,0,0,0
1441163385.50086,pg_catalog,pg_enum,pg_enum_typid_sortorder_index,0,0,0,0,0
1441163385.50086,pg_catalog,pg_enum,pg_enum_typid_label_index,0,0,0,0,0
1441163385.50086,pg_catalog,pg_enum,pg_enum_oid_index,0,0,0,0,0
1441163385.50086,pg_catalog,pg_namespace,pg_namespace_oid_index,362,360,360,37,871
1441163385.50086,pg_catalog,pg_namespace,pg_namespace_nspname_index,3777,2483,2483,49,5022
1441163385.50086,pg_catalog,pg_conversion,pg_conversion_oid_index,0,0,0,0,0
1441163385.50086,pg_catalog,pg_conversion,pg_conversion_name_nsp_index,0,0,0,0,0
1441163385.50086,pg_catalog,pg_conversion,pg_conversion_default_index,0,0,0,0,0
1441163385.50086,pg_catalog,pg_depend,pg_depend_reference_index,513,478,469,61,1305
1441163385.50086,pg_catalog,pg_depend,pg_depend_depender_index,33,62,62,26,375
1441163385.50086,pg_catalog,pg_db_role_setting,pg_db_role_setting_databaseid_rol_index,6900,0,0,16,6884
1441163385.50086,pg_catalog,pg_tablespace,pg_tablespace_spcname_index,0,0,0,2,2
1441163385.50086,pg_catalog,pg_tablespace,pg_tablespace_oid_index,1189,1189,1189,50,2328
1441163385.50086,pg_catalog,pg_pltemplate,pg_pltemplate_name_index,0,0,0,0,0
1441163385.50086,pg_catalog,pg_auth_members,pg_auth_members_member_role_index,0,0,0,0,0
1441163385.50086,pg_catalog,pg_auth_members,pg_auth_members_role_member_index,0,0,0,0,0
1441163385.50086,pg_catalog,pg_shdepend,pg_shdepend_reference_index,17,17,17,8,24
1441163385.50086,pg_catalog,pg_shdepend,pg_shdepend_depender_index,17,0,0,8,14
1441163385.50086,pg_catalog,pg_shdescription,pg_shdescription_o_c_index,0,0,0,0,0
1441163385.50086,pg_catalog,pg_ts_config,pg_ts_config_oid_index,0,0,0,0,0
1441163385.50086,pg_catalog,pg_ts_config,pg_ts_config_cfgname_index,0,0,0,0,0
1441163385.50086,pg_catalog,pg_ts_config_map,pg_ts_config_map_index,0,0,0,0,0
1441163385.50086,pg_catalog,pg_ts_dict,pg_ts_dict_oid_index,0,0,0,0,0
1441163385.50086,pg_catalog,pg_ts_dict,pg_ts_dict_dictname_index,0,0,0,0,0
1441163385.50086,pg_catalog,pg_ts_parser,pg_ts_parser_oid_index,0,0,0,0,0
1441163385.50086,pg_catalog,pg_ts_parser,pg_ts_parser_prsname_index,0,0,0,0,0
1441163385.50086,pg_catalog,pg_ts_template,pg_ts_template_oid_index,0,0,0,0,0
1441163385.50086,pg_catalog,pg_ts_template,pg_ts_template_tmplname_index,0,0,0,0,0
1441163385.50086,pg_catalog,pg_extension,pg_extension_name_index,0,0,0,0,0
1441163385.50086,pg_catalog,pg_extension,pg_extension_oid_index,0,0,0,0,0
1441163385.50086,pg_catalog,pg_foreign_data_wrapper,pg_foreign_data_wrapper_name_index,0,0,0,0,0
1441163385.50086,pg_catalog,pg_foreign_data_wrapper,pg_foreign_data_wrapper_oid_index,0,0,0,0,0
1441163385.50086,pg_catalog,pg_foreign_server,pg_foreign_server_name_index,0,0,0,0,0
1441163385.50086,pg_catalog,pg_foreign_server,pg_foreign_server_oid_index,0,0,0,0,0
1441163385.50086,pg_catalog,pg_foreign_table,pg_foreign_table_relid_index,0,0,0,0,0
1441163385.50086,pg_catalog,pg_policy,pg_policy_polrelid_polname_index,0,0,0,0,0
1441163385.50086,pg_catalog,pg_policy,pg_policy_oid_index,0,0,0,0,0
1441163385.50086,pg_catalog,pg_replication_origin,pg_replication_origin_roname_index,0,0,0,0,0
1441163385.50086,pg_catalog,pg_replication_origin,pg_replication_origin_roiident_index,0,0,0,0,0
1441163385.50086,pg_catalog,pg_default_acl,pg_default_acl_oid_index,0,0,0,0,0
1441163385.50086,pg_catalog,pg_default_acl,pg_default_acl_role_nsp_obj_index,62,0,0,4,58
1441163385.50086,pg_catalog,pg_seclabel,pg_seclabel_object_index,16,0,0,4,12
1441163385.50086,pg_catalog,pg_shseclabel,pg_shseclabel_object_index,0,0,0,0,0
1441163385.50086,pg_catalog,pg_collation,pg_collation_oid_index,0,0,0,0,0
1441163385.50086,pg_catalog,pg_collation,pg_collation_name_enc_nsp_index,0,0,0,0,0
1441163385.50086,pg_catalog,pg_range,pg_range_rngtypid_index,29,0,0,34,24
1441163385.50086,pg_catalog,pg_transform,pg_transform_type_lang_index,0,0,0,0,0
1441163385.50086,pg_catalog,pg_transform,pg_transform_oid_index,0,0,0,0,0
1441163385.50086,pg_catalog,pg_database,pg_database_oid_index,4238,4237,4237,40,5924
1441163385.50086,pg_catalog,pg_database,pg_database_datname_index,3011,3010,3010,44,4689
1441163385.50086,public,nation,pk_nation,256278,256278,256278,22,256284
1441163385.50086,public,region,pk_region,24,24,24,10,24
1441163385.50086,pg_toast,pg_toast_13126,pg_toast_13126_index,0,0,0,0,0
1441163385.50086,pg_toast,pg_toast_13131,pg_toast_13131_index,0,0,0,0,0
1441163385.50086,pg_toast,pg_toast_13136,pg_toast_13136_index,0,0,0,0,0
1441163385.50086,pg_toast,pg_toast_13141,pg_toast_13141_index,0,0,0,0,0
